icpsr2,year,alpha_st,anti_inst,policy,pos_affect,posAffPer,neg_affect,num_tweets,dist,congress,nominate_dim1,nominate_dim2,democrat,seniority,st,op_ideo,pid7,ideo5,white,hispanic,educ,faminc,unionmember,approval_pres,approval_rep,count,name,pop,college,ageless18,age65plus,poverty,black,white_acs,hispanic_acs,unemp_clf,armedforces,nilf,medinc,gini,foreignborn,Incumbent,Party,Biden,Trump20,Clinton,Trump16,Obama,Romney,dempvote20,dempvote16,dempvote12,namedem12016,votesdem12016,namedem22016,votesdem22016,namerep12016,votesrep12016,namerep22016,votesrep22016,totalvotes2016,namedem12018,votesdem12018,namedem22018,votesdem22018,namerep12018,votesrep12018,namerep22018,votesrep22018,totalvotes2018,namedem12020,votesdem12020,namedem22020,votesdem22020,namerep12020,votesrep12020,namerep22020,votesrep22020,totalvotes2020,demHvote2016,uncontested2016,demHvote2018,uncontested2018,demHvote2020,uncontested2020,incumbentD2016,incumbloseD2016,runoffD2016,PRIMARYD2016,GENERALD2016,wongeneralD2016,numcandsD2016,incumbentR2016,incumbloseR2016,runoffR2016,PRIMARYR2016,GENERALR2016,wongeneralR2016,numcandsR2016,incumbentD2018,incumbloseD2018,runoffD2018,PRIMARYD2018,GENERALD2018,wongeneralD2018,numcandsD2018,incumbentR2018,incumbloseR2018,runoffR2018,PRIMARYR2018,GENERALR2018,wongeneralR2018,numcandsR2018,incumbentD2020,incumbloseD2020,runoffD2020,PRIMARYD2020,GENERALD2020,wongeneralD2020,numcandsD2020,incumbentR2020,incumbloseR2020,runoffR2020,PRIMARYR2020,GENERALR2020,wongeneralR2020,numcandsR2020,primaryvote2016,primarychall2016,primaryvote2018,primarychall2018,primaryvote2020,primarychall2020,primvote,primchal,demHvote2016_2,demHvote2018_2,demHvote2020_2,dempvote16_2,trumpy,demHvote,dem_normal,economic,y1,y2,y3,y4,y5,y6,y7,affect
20532,2017,TX,3,0.6470588235,1,0.01176470588,4,85,24,115,0.6,0.154,0,7,TX,-0.16506168,2.991954166,2.632984429,0.65357572,0.006111023182,0.5081254986,7.158775973,0.3188732,1.745820332,2.621527195,40,"Congressional District 24 (116th Congress), Texas",802353,0.29963845,0.23276164,0.10607426,0.073451459,0.13580057,0.63541609,0.24502183,0.034976605,0.00066186831,0.26265028,0.41664001,0.4641,0.24787469,Beth Van Duyne,(R),51.9,46.5,44.5,50.7,38,60.4,0.527439,0.46743697,0.38617885,JAN MCDOWELL,108389,,,KENNY MARCHANT,154845,,,275635,JAN MCDOWELL,125231,,,KENNY E MARCHANT,133317,,,263418,CANDACE VALENZUELA,163326,,,BETH VAN DUYNE,167910,,,344021,0.41175911,0,0.48436266,0,0.49308047,0,0,,,1,0.3932338056,0,1,1,,,1,0.5617755365,1,1,0,,,0.5246807289,0.4754079068,0,4,1,,,0.7440775746,0.5061043664,1,2,0,,1,0.4104174363,0.4747559015,0,7,0,,,0.64332143,0.4880806695,1,5,1,1,0.74407756,2,0.64332145,5,1,1,0.16954556,0.23460719,0.24312834,0.21849732,-0.081258118,0.41175911,0.46035162,2.7128735,0,1,0,0,0,0,0,0.05882353
21364,2017,TX,27,0.6241610738,16,0.02684563758,51,596,25,115,0.586,0.139,0,3,TX,-0.07466276,3.513915738,2.856657774,0.78642941,0.1054922709,0.3038160206,6.166734959,0.19885543,2.632146277,2.828408451,40,"Congressional District 25 (116th Congress), Texas",783085,0.24633196,0.23957552,0.13848433,0.09091606,0.087929152,0.82586437,0.18940984,0.04444059,0.029110873,0.36482784,0.36398,0.48609999,0.078420609,Roger Williams,(R),44.4,54,40.2,55.1,37.8,59.9,0.4512195,0.42182583,0.38689867,KATHI THOMAS,117073,,,ROGER WILLIAMS,180988,,,310196,JULIE OLIVER,136385,,,ROGER WILLIAMS,163023,,,304553,JULIE OLIVER,165697,,,ROGER WILLIAMS,220088,,,393523,0.392782,0,0.45551556,0,0.42950606,0,0,,,1,0.3774162143,0,1,1,,,1,0.5834633587,1,1,0,,1,0.3279318997,0.447820248,0,5,1,,,1,0.5352861407,1,1,0,,,0.6961184186,0.4210605225,0,2,1,,,0.8756777745,0.5592760779,1,2,1,1,1,1,0.87567776,2,1,1,0.1542777,0.20749442,0.18447545,0.17793703,-0.03492716,0.392782,0.41998133,1.3866923,0,1,0,0,0,0,0,0.11241611
20355,2017,TX,1,0.5365853659,3,0.0243902439,3,123,26,115,0.574,-0.201,0,8,TX,-0.092291944,3.937040691,3.143526465,0.80366915,0.06244534458,0.3225418851,4.989206692,0.1858597,2.293733138,2.713259233,25,"Congressional District 26 (116th Congress), Texas",874507,0.30051875,0.26514712,0.09864758,0.065085813,0.09620849,0.77378225,0.1842501,0.040001079,0.00076834182,0.27884498,0.42473999,0.42109999,0.13145693,Michael Burgess,(R),42.1,56.3,34.4,60.9,30.7,67.6,0.42784554,0.36096537,0.31230927,ERIC MAUCK,94507,,,MICHAEL C BURGESS,211730,,,319080,LINSEY FAGAN,121938,,,MICHAEL C BURGESS,185551,,,312505,CAROL H IANNUZZI,161009,,,MICHAEL C BURGESS,261963,,,432215,0.3086074,0,0.39656052,0,0.38066113,0,0,,,1,0.2961859095,0,1,1,,,0.793606469,0.6635639965,1,3,0,,,0.5266449363,0.3901953569,0,2,1,,,0.7698820465,0.5937536999,1,2,0,,,0.5534264661,0.3725206205,0,3,1,,,0.7359830175,0.6060941892,1,4,0.79360646,3,0.76988202,2,0.73598301,4,0.79360646,3,0.095238529,0.15726024,0.1449029,0.13029599,-0.048656106,0.3086074,0.36704007,2.7307112,0,1,0,0,0,0,0,0.048780486
21184,2017,TX,6,0.658045977,13,0.03735632184,24,348,27,115,0.548,0.016,0,4,TX,0.35010037,4.634493001,3.58018546,0.63464803,0.01202335994,0.1696756661,5.082353504,0.1409288,3.510742615,3.230076333,42,"Congressional District 27 (116th Congress), Texas",740124,0.13361713,0.25112277,0.15534559,0.14555804,0.057601158,0.85388392,0.53244859,0.054796722,0.0054299445,0.39155555,0.27429,0.4623,0.089687675,Michael Cloud,(R),37.5,61.2,36.5,60.1,38.2,60.5,0.3799392,0.37784678,0.38703141,"RAUL ""ROY"" BARRERA",88329,,,BLAKE FARENTHOLD,142251,,,230580,ERIC HOLGUIN,75929,,,MICHAEL CLOUD,125118,,,207421,"RICARDO ""RICK"" DE LA FUENTE",95466,,,MICHAEL CLOUD,172305,,,273253,0.38307312,0,0.3776679,0,0.35652107,0,0,,,0.5033474389,0.38307312,0,3,1,,,0.5590592912,0.61692688,1,2,0,,1,0.4123236124,0.3660622598,0,4,0,,1,0.3609095856,0.6032079683,1,6,0,,,0.6144628221,0.3493685339,0,2,1,,,1,0.6305694722,1,1,0.55905926,2,0.36090958,6,1,1,0.55905926,2,0.14674501,0.14263305,0.12710728,0.14276819,0.0091846287,0.38307312,0.3816058,-1.1861053,0,1,0,0,0,0,0,0.10632184
20533,2017,TX,2,0.6767676768,6,0.0303030303,8,198,28,115,-0.229,0.618,1,7,TX,0.49990305,4.414731413,3.46533711,0.22342804,0.009132640939,0.2161080205,5.277654834,0.09283521,3.597535655,3.280378814,25,"Congressional District 28 (116th Congress), Texas",750087,0.13233092,0.3093268,0.11410677,0.21650289,0.05038349,0.88059121,0.78046012,0.068296701,0.006419607,0.40268233,0.23309,0.4709,0.2077439,Henry Cuellar,(D),51.6,47.2,58.3,38.5,60.3,38.7,0.52226722,0.60227275,0.60909092,HENRY CUELLAR,122086,,,ZEFFEN HARDIN,57740,,,184442,HENRY CUELLAR,117494,,,,,,,139226,HENRY CUELLAR,137494,,,SANDRA WHITTEN,91925,,,235844,0.67891186,0,1,1,0.59931391,0,1,,,0.8979272936,0.6619208206,1,2,0,,,1,0.3130523417,0,1,1,,,1,0.8439084654,1,1,,,,,,,,1,,,0.5179385953,0.5829870592,1,2,0,,,1,0.3897703567,0,1,0.89792728,2,1,1,0.51793861,2,0.89792728,2,0.46092132,1,0.35917717,0.36273247,0.0068181753,0.67891186,0.57787699,-2.731447,0,1,0,0,0,0,0,0.070707068
39304,2017,TX,33,0.7601246106,19,0.02959501558,135,642,29,115,-0.324,0.453,1,13,TX,0.036245875,4.440009797,3.146484219,0.4113358,0.01829158139,0.02122258758,3.804344812,0.22767517,2.617572466,2.930995386,23,"Congressional District 29 (116th Congress), Texas",745825,0.074398868,0.30636275,0.083231322,0.21337311,0.11577917,0.75065869,0.78103846,0.063103542,0.00039264801,0.35549873,0.2502,0.4289,0.32728052,Sylvia Garcia,(D),65.9,32.9,71.1,25.4,65.9,33,0.66700405,0.73678756,0.66632962,GENE GREEN,95649,,,JULIO GARZA,31646,,,131982,SYLVIA R GARCIA,88188,,,PHILLIP ARONOFF,28098,,,117494,SYLVIA R GARCIA,111305,,,JAIMY Z BLANCO,42840,,,156473,0.75139636,0,0.75837159,0,0.72207987,0,1,,,0.5744598517,0.7247124608,1,3,0,,,0.590843949,0.2397751208,0,2,0,,,0.6325925127,0.7505744974,1,7,0,,1,0.3860099471,0.2391441265,0,4,1,,,1,0.7113367801,1,1,0,,,0.5688795592,0.2737852537,0,2,0.57445985,3,0.6325925,7,1,1,0.57445985,3,0.56459647,0.57512748,0.52139932,0.54285592,-0.070457935,0.75139636,0.69004041,-2.9168961,0,1,0,0,0,0,0,0.23987539
39305,2017,TX,6,0.5659340659,13,0.07142857143,21,182,30,115,-0.485,0.198,1,13,TX,-0.24983667,3.325434717,3.262451237,0.11483351,0.162220042,0.204127571,6.149526897,0.22127064,1.915572719,3.039992231,36,"Congressional District 30 (116th Congress), Texas",782114,0.13939019,0.27814871,0.10135223,0.18947366,0.43797451,0.48451376,0.39419958,0.058231492,0.00036551463,0.36219135,0.28196999,0.47189999,0.17804821,Eddie Bernice Johnson,(D),79.8,18.9,79.1,18.3,79.6,19.6,0.80851066,0.81211501,0.80241936,EDDIE BERNICE JOHNSON,170502,,,CHARLES LINGERFELT,41518,,,218826,EDDIE BERNICE JOHNSON,166784,,,,,,,183174,EDDIE BERNICE JOHNSON,204928,,,TRE PENNIE,48685,,,264464,0.80417883,0,1,1,0.8080343,0,1,,,0.6942266016,0.7791670094,1,3,0,,,1,0.1897306536,0,1,1,,,0.6360415085,0.9105222357,1,3,,,,,,,,1,,,0.7063373853,0.774880513,1,4,0,,,1,0.1840893278,0,1,0.69422662,3,0.63604152,3,0.70633739,4,0.69422662,3,0.6467036,1,0.65291941,0.65953082,-0.0096956491,0.80417883,0.80768168,-1.7005224,0,1,0,0,0,0,0,0.18681319
20356,2017,TX,5,0.4096573209,55,0.08566978193,9,642,31,115,0.481,0.584,0,8,TX,0.079785064,3.984312973,2.964559849,0.67629427,0,0.3001288947,6.182089719,0.18615416,3.033706891,3.414011686,44,"Congressional District 31 (116th Congress), Texas",856506,0.23592836,0.26313066,0.11694723,0.084419727,0.13872173,0.74963981,0.24632168,0.055169541,0.036048599,0.31927803,0.36012,0.4215,0.11061919,John Carter,(R),47.6,50.4,40.8,53.5,38.3,59.6,0.48571429,0.43266171,0.39121553,MIKE CLARK,103852,,,JOHN R CARTER,166060,,,284588,"MARY JENNINGS ""MJ"" HEGAR",136362,,,JOHN CARTER,144680,,,286007,DONNA IMAM,176293,,,JOHN R CARTER,212695,,,398057,0.38476244,0,0.48520151,0,0.45320934,0,0,,,1,0.3649205167,0,1,1,,,0.7128331991,0.5835101972,1,2,0,,1,0.4493147142,0.4767785404,0,4,1,,,0.655006716,0.5058617446,1,2,0,,1,0.3469956742,0.4428838081,0,6,1,,,0.8227651856,0.5343330227,1,4,0.71283323,2,0.65500671,2,0.82276517,4,0.71283323,2,0.14804213,0.23542051,0.20539871,0.18719615,-0.041446179,0.38476244,0.4365305,1.0308601,0,1,0,0,0,0,0,0.09968847
29759,2017,TX,21,0.6659482759,7,0.0150862069,36,464,32,115,0.59,0.139,0,11,TX,-0.24686418,3.69182675,2.669786733,0.60610902,0.006533007603,0.3496074442,6.234460294,0.21279073,1.984378749,2.327043878,36,"Congressional District 32 (116th Congress), Texas",774063,0.27882859,0.23596141,0.12362301,0.09975028,0.1505446,0.68148845,0.2656993,0.041778218,0.00060172204,0.28788504,0.38712001,0.51620001,0.22201036,Colin Allred,(D),54.4,44,48.5,46.6,41.5,57,0.55284554,0.5099895,0.42131978,,,,,PETE SESSIONS,162868,,,229171,COLIN ALLRED,144067,,,PETE SESSIONS,126101,,,275620,COLIN Z ALLRED,178542,,,GENEVIEVE COLLINS,157867,,,343687,0,1,0.53324968,0,0.53072894,0,,,,,,,,1,,,0.6141791505,0.7106832889,1,4,0,,1,0.3842606367,0.5227015456,1,7,1,,,0.7929348873,0.4575175967,0,2,1,,,1,0.5194901175,1,1,0,,,0.5287600406,0.4593336379,0,5,0.61417913,4,0.79293489,7,0.52876002,1,0.61417913,4,0,0.28435522,0.28167319,0.26008928,-0.088669717,0,0.49471828,1.8085496,0,1,0,0,0,0,0,0.092672415
21365,2017,TX,51,0.6497175141,19,0.05367231638,100,354,33,115,-0.4,0.283,1,3,TX,-0.27106559,4.188107746,3.174781583,0.59630734,0.05318048146,0.1711914894,4.065119517,0.17185009,2.958255737,3.169408841,30,"Congressional District 33 (116th Congress), Texas",739374,0.078546874,0.30913177,0.084407888,0.20693451,0.16679786,0.64354306,0.67378217,0.06037261,0.00042970607,0.34225604,0.24025001,0.41960001,0.3281154,Marc Veasey,(D),73,25.6,72.9,23.7,72,27.1,0.74036509,0.7546584,0.72653884,MARC A VEASEY,93147,,,M MARK MITCHELL,33222,,,126369,MARC VEASEY,90805,,,WILLIE BILLUPS,26120,,,119224,MARC A VEASEY,105317,,,FABIAN CORDOVA VASQUEZ,39638,,,157606,0.73710322,0,0.77660894,0,0.72654963,0,1,,,0.6340664772,0.7371032453,1,2,0,,,0.5236889397,0.2628967547,0,2,1,,,0.703197405,0.7616335637,1,2,0,,,1,0.219083406,0,1,1,,,0.6357099102,0.6682296359,1,2,0,,,1,0.2515005774,0,1,0.63406646,2,0.70319742,2,0.63570988,2,0.63406646,2,0.54332119,0.60312146,0.52787435,0.56950933,-0.028119564,0.73710322,0.74052078,-2.7971668,0,1,0,0,0,0,0,0.33615819
21366,2017,TX,4,0.7346938776,3,0.0612244898,8,49,34,115,-0.311,0.407,1,3,TX,-0.24369349,3.754817608,3.057432691,0.21217643,0.2907512463,0.2529732836,3.942039082,0.1618323,2.968726037,3.400273064,56,"Congressional District 34 (116th Congress), Texas",721500,0.11080692,0.29532778,0.13531254,0.24620235,0.015595288,0.91800833,0.84558839,0.062636778,0.0031885947,0.45024878,0.20603999,0.48609999,0.1880208,Mayra Flores,(R),51.5,47.5,59.2,37.7,60.8,38.3,0.52020204,0.61093909,0.6135217,FILEMON VELA,104638,,,REY GONZALEZ JR,62323,,,166961,FILEMON B VELA,85825,,,REY GONZALEZ,57243,,,143068,FILEMON VELA,111439,,,REY GONZALEZ,84119,,,201027,0.6267212,0,0.59988958,0,0.5698514,0,1,,,1,0.6267212103,1,1,0,,,0.5056284043,0.3732787897,0,2,1,,,1,0.599889563,1,1,0,,,1,0.400110437,0,1,1,,,0.7505893088,0.5543484209,1,3,0,,,0.5632129278,0.4184462784,0,2,1,1,1,1,0.75058931,3,1,1,0.39277947,0.35986751,0.3247306,0.37324658,0.0025826097,0.6267212,0.58155429,-3.2983847,0,1,0,0,0,0,0,0.22448979
29571,2017,TX,106,0.7467391304,33,0.03586956522,351,920,35,115,-0.402,-0.316,1,12,TX,-0.26469553,4.075693032,3.178855376,0.20794807,6.82E-06,0.1665410657,3.839850271,0.15674831,1.923434898,3.077686639,46,"Congressional District 35 (116th Congress), Texas",825790,0.1504323,0.25284395,0.095475845,0.17686458,0.10369707,0.73888516,0.61931968,0.049731251,0.004747299,0.33177853,0.26743999,0.43920001,0.16100219,Lloyd Doggett,(D),67.7,30.5,64.1,30.5,63,34.6,0.68940938,0.67758983,0.64549178,LLOYD DOGGETT,124612,,,SUSAN NARVAIZ,62384,,,197576,LLOYD DOGGETT,138278,,,DAVID SMALLING,50553,,,194067,LLOYD DOGGETT,176373,,,JENNY GARCIA SHARON,80795,,,269797,0.66638857,0,0.73228443,0,0.68582797,0,1,,,1,0.6307041341,1,1,0,,,1,0.3157468518,0,1,1,,,1,0.7125271169,1,1,0,,,0.5329555622,0.2604925103,0,2,1,,,0.7300366666,0.6537248376,1,2,0,,1,0.3711787992,0.2994658947,0,3,1,1,1,1,0.73003668,2,1,1,0.44407374,0.53624046,0.47036001,0.45912799,-0.032098055,0.66638857,0.67083031,-1.3123677,0,1,0,0,0,0,0,0.4173913
21551,2017,TX,5,0.6143958869,12,0.03084832905,32,389,36,115,0.708,0.089,0,2,TX,0.19124828,4.049870051,3.373748348,0.56616241,0,0.1665351989,6.023010761,0.49643919,3.677650679,3.16770472,31,"Congressional District 36 (116th Congress), Texas",743455,0.12936032,0.25025052,0.14147191,0.12154871,0.10275,0.82587785,0.26338109,0.068818331,0.001547124,0.39907616,0.31564,0.4517,0.10581811,Brian Babin,(R),26.9,71.9,25.2,72,25.7,73.2,0.27226719,0.25925925,0.25985843,,,,,BRIAN BABIN,193675,,,218565,DAYNA STEELE,60908,,,BRIAN BABIN,161048,,,221956,RASHAD LEWIS,73418,,,BRIAN BABIN,222712,,,302549,0,1,0.27441475,0,0.24792489,0,,,,,,,,1,,,1,0.8861208336,1,1,0,,,0.7199737953,0.2744147489,0,2,1,,,1,0.7255852511,1,1,0,,,1,0.2426648245,0,1,1,,,0.8956109981,0.7361187775,1,2,1,1,1,1,0.89561099,2,1,1,0,0.07530345,0.061466753,0.067215361,0.00059917569,0,0.26379496,-1.0501376,0,1,0,0,0,0,0,0.11311054
20357,2017,UT,0,0.3333333333,1,0.3333333333,0,3,1,115,0.537,0.105,0,8,UT,-0.034325503,4.148777544,3.320151472,0.88829112,0.008440081892,0.1787980045,5.295207225,0.29612008,2.279859691,2.920395122,32,"Congressional District 1 (116th Congress), Utah",762720,0.20713075,0.30751652,0.10286999,0.086798564,0.01818754,0.90025699,0.12971209,0.034391381,0.0068270853,0.31606054,0.31781,0.41420001,0.056156911,Blake Moore,(R),31.6,64.2,22.4,49.7,20.4,77.4,0.32985386,0.31067961,0.20858896,PETER C CLEMENS,73380,,,ROB BISHOP,182925,,,277451,LEE CASTILLO,63308,,,ROB BISHOP,156692,,,254333,DARREN PARRY,104194,,,BLAKE DAVID MOORE,237988,,,342351,0.28629953,0,0.28776363,0,0.30449876,0,0,,,,0.2644789245,0,0,1,,,,0.6593069146,1,0,0,,,0.5721365639,0.2489177574,0,2,1,,,,0.6160899293,1,0,0,,,0.5092758305,0.3043484611,0,2,0,,,0.3094847701,0.6951578935,1,4,1,0,1,0,0.30948478,4,1,0,0.081967421,0.082807906,0.092719495,0.096521825,-0.10209066,0.28629953,0.28304082,1.0571212,0,1,0,0,0,0,0,0.33333334
21367,2017,UT,16,0.4514285714,4,0.02285714286,30,175,2,115,0.507,0.165,0,3,UT,0.1551221,3.770986287,3.159713981,0.88513499,0.01899654602,0.3565273565,5.169849363,0.13137949,3.054218791,2.933907738,42,"Congressional District 2 (116th Congress), Utah",766444,0.20559838,0.27356336,0.13216752,0.10802094,0.01976661,0.82743812,0.15587701,0.037293036,0.0015531001,0.34288329,0.30932,0.44389999,0.097187795,Chris Stewart,(R),40.2,56.1,32,46,29.2,68,0.41744548,0.41025642,0.30041152,CHARLENE ALBARRAN,93778,,,CHRIS STEWART,170524,,,276819,SHIREEN GHORBANI,105051,,,CHRIS STEWART,151489,,,270044,KAEL WESTON,129762,,,CHRIS STEWART,208997,,,354224,0.35481381,0,0.40949169,0,0.38305107,0,0,,,,0.3387504019,0,0,1,,,,0.6160286952,1,0,0,,,,0.3890143828,0,0,1,,,,0.5609789516,1,0,0,,,,0.3663275216,0,0,1,,,,0.5900136637,1,0,1,0,1,0,1,0,1,0,0.12589285,0.16768344,0.14672811,0.16831033,-0.10984489,0.35481381,0.37603781,0.64618599,0,1,0,0,0,0,0,0.19428572
20949,2017,UT,1,0.3,0,0,2,10,3,115,0.647,-0.278,0,5,UT,-0.13265216,4.086214679,3.306586049,0.79423523,0.004210824827,0.2932626954,5.292361755,0.10517148,2.600669707,,42,"Congressional District 3 (116th Congress), Utah",761759,0.2762723,0.30001482,0.10331745,0.094461635,0.011255529,0.90879267,0.1063184,0.035722353,0.001261914,0.3178671,0.30129999,0.44710001,0.073758237,John Curtis,(R),35.2,60.3,23.3,47.2,19.5,78.3,0.36858639,0.33049646,0.19938651,STEPHEN P TRYON,75716,,,JASON CHAFFETZ,209589,,,285305,JAMES COURAGE SINGER,70686,,,JOHN CURTIS,174856,,,258858,DEVIN D THORPE,96067,,,JOHN R CURTIS,246674,,,358927,0.26538616,0,0.28787744,0,0.28029037,0,0,,,,0.2653861657,0,0,1,,,0.7859213731,0.7346138343,1,2,0,,,,0.2730686322,0,0,1,,,0.7332435238,0.675490037,1,2,0,,,,0.267650525,0,0,1,,,,0.6872539541,1,0,0.78592139,2,0.73324353,2,1,0,0.78592139,2,0.070429817,0.082873419,0.078562692,0.10922791,-0.13110995,0.26538616,0.2994898,1.4033016,0,1,0,0,0,0,0,0.2
21755,2017,UT,0,0.6756756757,5,0.1351351351,2,37,3,115,0.488,0.074,0,1,UT,-0.13265216,4.086214679,3.306586049,0.79423523,0.004210824827,0.2932626954,5.292361755,0.10517148,2.600669707,,42,"Congressional District 3 (116th Congress), Utah",761759,0.2762723,0.30001482,0.10331745,0.094461635,0.011255529,0.90879267,0.1063184,0.035722353,0.001261914,0.3178671,0.30129999,0.44710001,0.073758237,John Curtis,(R),35.2,60.3,23.3,47.2,19.5,78.3,0.36858639,0.33049646,0.19938651,STEPHEN P TRYON,75716,,,JASON CHAFFETZ,209589,,,285305,JAMES COURAGE SINGER,70686,,,JOHN CURTIS,174856,,,258858,DEVIN D THORPE,96067,,,JOHN R CURTIS,246674,,,358927,0.26538616,0,0.28787744,0,0.28029037,0,0,,,,0.2653861657,0,0,1,,,0.7859213731,0.7346138343,1,2,0,,,,0.2730686322,0,0,1,,,0.7332435238,0.675490037,1,2,0,,,,0.267650525,0,0,1,,,,0.6872539541,1,0,0.78592139,2,0.73324353,2,1,0,0.78592139,2,0.070429817,0.082873419,0.078562692,0.10922791,-0.13110995,0.26538616,0.2994898,1.4033016,0,1,0,0,0,0,0,0.1891892
21552,2017,UT,9,0.6315789474,6,0.01754385965,16,342,4,115,0.542,-0.056,0,2,UT,-0.33242452,3.81642366,2.837641813,0.8540805,0.04458321013,0.3371138705,6.383158297,0.32447621,2.314318093,2.740482818,46,"Congressional District 4 (116th Congress), Utah",805925,0.2168957,0.311225,0.093663804,0.072109684,0.022180725,0.82311881,0.16805285,0.035642859,0.0016026796,0.28304505,0.34321001,0.39449999,0.10961814,Burgess Owens,(R),43.3,52.4,32.4,39.1,30.2,67.2,0.45245558,0.45314685,0.3100616,DOUG OWENS,113413,,,MIA B LOVE,147597,,,274569,BEN MCADAMS,134964,,,MIA B LOVE,134270,,,269271,BEN MCADAMS,175923,,,BURGESS OWENS,179688,,,376730,0.43451592,0,0.50128883,0,0.4947063,0,0,,,,0.4130582841,0,0,1,,,,0.537558865,1,0,0,,,,0.5012199606,1,0,1,,,,0.4986426314,0,0,1,,,,0.4669736947,0,0,0,,,,0.4769675895,1,0,1,0,,0,1,0,1,0,0.18880409,0.2512905,0.24473433,0.20534207,-0.14308524,0.43451592,0.40522134,1.4627063,0,1,0,0,0,0,0,0.064327486
20756,2017,VA,3,0.66875,5,0.03125,10,160,1,115,0.445,0.004,0,6,VA,0.11817188,4.281788684,3.378015441,0.74858296,0.02271018781,0.4318506013,6.159390034,0.21270673,2.771110098,3.318449818,54,"Congressional District 1 (116th Congress), Virginia",793627,0.22408935,0.23700428,0.14988905,0.064822644,0.18716097,0.72593546,0.10028515,0.039394591,0.026402075,0.33111468,0.40344,0.4073,0.089647904,Rob Wittman,(R),47,51.4,41.2,53.6,43.4,55.3,0.47764227,0.43459916,0.43971631,"M D ""MATT"" ROWE",140785,,,ROBERT J WITTMAN,230213,,,384601,VANGIE A WILLIAMS,148464,,,"ROBERT J ""ROB"" WITTMAN",183250,,,332101,QASIM RASHID,186923,,,ROBERT J WITTMAN,260614,,,448178,0.37947643,0,0.44756627,0,0.41767049,0,0,,,,0.3660033017,0,0,1,,,,0.5984921553,1,0,0,,,0.3995789321,0.4470097282,0,3,1,,,,0.5517467716,1,0,0,,,0.5250825563,0.4170731272,0,2,1,,,,0.5814966375,1,0,1,0,1,0,1,0,1,0,0.14400236,0.20031556,0.17444864,0.18887644,0.0051171482,0.37947643,0.45065257,1.9382917,0,1,0,0,0,0,0,0.09375
21748,2017,VA,26,0.4244274809,21,0.0320610687,138,655,2,115,0.456,0.021,0,1,VA,-0.097909495,3.995855859,3.115273091,0.7831586,0,0.2188337509,5.779959879,0.17392516,2.859783643,3.072154158,42,"Congressional District 2 (116th Congress), Virginia",738524,0.21587378,0.21506816,0.14479421,0.079715759,0.22312748,0.6713174,0.081298642,0.048205107,0.1240164,0.31112453,0.35464999,0.4321,0.086747348,Elaine Luria,(D),51.4,46.7,45.4,48.8,48.2,50.5,0.52395517,0.48195329,0.48834854,SHAUN D BROWN,119440,,,SCOTT W TAYLOR,190475,,,310567,ELAINE G LURIA,139571,,,SCOTT W TAYLOR,133458,,,273400,ELAINE G LURIA,185733,,,SCOTT W TAYLOR,165031,,,360277,0.385396,0,0.51119477,0,0.52950984,0,0,,,,0.3844965233,0,0,1,1,,0.5254553488,0.6131695854,1,3,0,,,0.6230299588,0.5104488202,1,2,1,,,0.7603797232,0.4880919291,0,2,1,,,,0.5155283296,1,0,0,,,0.4849442308,0.4580669873,0,3,0.52545536,3,0.76037973,2,0.48494422,0,0.52545536,3,0.14853008,0.26132008,0.28038067,0.23227897,0.0063952506,0.385396,0.49808568,1.0783508,0,1,0,0,0,0,0,0.2427481
39307,2017,VA,38,0.5512820513,50,0.08012820513,68,624,3,115,-0.45,0.016,1,13,VA,-0.27669194,2.802865529,3.074332281,0.34585488,0.006984492994,0.2424055749,5.310062775,0.23767343,2.121053193,2.982394832,58,"Congressional District 3 (116th Congress), Virginia",739947,0.16593733,0.22403227,0.13515969,0.13933836,0.49115545,0.44476295,0.064345151,0.067448929,0.064506955,0.33895046,0.30006,0.4544,0.056185104,Bobby Scott,(D),67.2,31.2,63.6,31.9,67.6,31.3,0.68292683,0.6659686,0.68351871,"ROBERT C ""BOBBY"" SCOTT",208337,,,"M L ""MARTY"" WILLIAMS",103289,,,312340,"ROBERT C ""BOBBY"" SCOTT",198615,,,,,,,217722,"ROBERT C ""BOBBY"" SCOTT",233326,,,JOHN W COLLICK JR,107299,,,341361,0.66854817,0,1,1,0.68499374,0,1,,,,0.6669537185,1,0,0,,,,0.330661297,0,0,1,,,,0.9119480973,1,0,,,,,,,,1,,,,0.6835168634,1,0,0,,,0.3967743357,0.3143270614,0,3,1,0,1,0,1,0,1,0,0.44695666,1,0.46921644,0.44351417,0.017550111,0.66854817,0.6774714,-1.0182476,0,1,0,0,0,0,0,0.18910256
